accuracy	lr	epochs	modeDim	modelName
0.2	0.01	5	5	0.2_lr0.01_e5_d5
0.2624	0.0001	5	5	0.2624_lr0.0001_e5_d5
0.3978	0.0001	20	5	0.3978_lr0.0001_e20_d5
0.4058	0.0001	10	5	0.4058_lr0.0001_e10_d5
0.4342	0.0001	60	5	0.4342_lr0.0001_e60_d5
0.4362	0.0001	50	5	0.4362_lr0.0001_e50_d5
0.4438	0.0001	30	5	0.4438_lr0.0001_e30_d5
0.4448	0.0001	70	5	0.4448_lr0.0001_e70_d5
0.4626	0.0001	80	5	0.4626_lr0.0001_e80_d5
0.4688	0.0001	40	5	0.4688_lr0.0001_e40_d5
0.4932	0.0001	5	26	0.4932_lr0.0001_e5_d26
0.5112	0.001	60	5	0.5112_lr0.001_e60_d5
0.5122	0.001	5	5	0.5122_lr0.001_e5_d5
0.5212	0.0001	10	26	0.5212_lr0.0001_e10_d26
0.5326	0.01	30	5	0.5326_lr0.01_e30_d5
0.5388	0.01	80	5	0.5388_lr0.01_e80_d5
0.5432	0.0001	20	26	0.5432_lr0.0001_e20_d26
0.5484	0.0001	5	52	0.5484_lr0.0001_e5_d52
0.566	0.0001	50	26	0.566_lr0.0001_e50_d26
0.5676	0.0001	60	26	0.5676_lr0.0001_e60_d26
0.5744	0.0001	30	26	0.5744_lr0.0001_e30_d26
0.5834	0.01	10	5	0.5834_lr0.01_e10_d5
0.596	0.0001	70	26	0.596_lr0.0001_e70_d26
0.6032	0.0001	20	52	0.6032_lr0.0001_e20_d52
0.6036	0.001	10	5	0.6036_lr0.001_e10_d5
0.6186	0.0001	10	104	0.6186_lr0.0001_e10_d104
0.6236	0.001	40	5	0.6236_lr0.001_e40_d5
0.6282	0.0001	10	52	0.6282_lr0.0001_e10_d52
0.6332	0.0001	80	26	0.6332_lr0.0001_e80_d26
0.6356	0.0001	5	78	0.6356_lr0.0001_e5_d78
0.6454	0.0001	5	156	0.6454_lr0.0001_e5_d156
0.6464	0.0001	40	26	0.6464_lr0.0001_e40_d26
0.6496	0.001	30	5	0.6496_lr0.001_e30_d5
0.6594	0.0001	40	52	0.6594_lr0.0001_e40_d52
0.6618	0.0001	5	104	0.6618_lr0.0001_e5_d104
0.662	0.0001	10	78	0.662_lr0.0001_e10_d78
0.6648	0.01	50	5	0.6648_lr0.01_e50_d5
0.6708	0.01	40	5	0.6708_lr0.01_e40_d5
0.6764	0.0001	5	130	0.6764_lr0.0001_e5_d130
0.6788	0.0001	5	182	0.6788_lr0.0001_e5_d182
0.6838	0.001	50	5	0.6838_lr0.001_e50_d5
0.6892	0.0001	50	52	0.6892_lr0.0001_e50_d52
0.6916	0.0001	40	78	0.6916_lr0.0001_e40_d78
0.6922	0.0001	30	52	0.6922_lr0.0001_e30_d52
0.6922	0.0001	10	130	0.6922_lr0.0001_e10_d130
0.6956	0.0001	30	78	0.6956_lr0.0001_e30_d78
0.6982	0.0001	20	78	0.6982_lr0.0001_e20_d78
0.6994	0.0001	60	52	0.6994_lr0.0001_e60_d52
0.7	0.001	70	5	0.7_lr0.001_e70_d5
0.7006	0.0001	50	78	0.7006_lr0.0001_e50_d78
0.702	0.0001	20	156	0.702_lr0.0001_e20_d156
0.7032	0.01	70	5	0.7032_lr0.01_e70_d5
0.7044	0.0001	50	104	0.7044_lr0.0001_e50_d104
0.7048	0.0001	30	104	0.7048_lr0.0001_e30_d104
0.705	0.0001	60	78	0.705_lr0.0001_e60_d78
0.705	0.0001	20	104	0.705_lr0.0001_e20_d104
0.7052	0.01	10	52	0.7052_lr0.01_e10_d52
0.7062	0.0001	70	78	0.7062_lr0.0001_e70_d78
0.7066	0.0001	20	130	0.7066_lr0.0001_e20_d130
0.7068	0.0001	10	156	0.7068_lr0.0001_e10_d156
0.7082	0.0001	80	52	0.7082_lr0.0001_e80_d52
0.7084	0.0001	70	52	0.7084_lr0.0001_e70_d52
0.7096	0.0001	40	104	0.7096_lr0.0001_e40_d104
0.71	0.0001	10	182	0.71_lr0.0001_e10_d182
0.7104	0.0001	40	130	0.7104_lr0.0001_e40_d130
0.7104	0.0001	20	182	0.7104_lr0.0001_e20_d182
0.7112	0.0001	80	78	0.7112_lr0.0001_e80_d78
0.7112	0.0001	30	130	0.7112_lr0.0001_e30_d130
0.712	0.0001	50	130	0.712_lr0.0001_e50_d130
0.7122	0.0001	30	156	0.7122_lr0.0001_e30_d156
0.7128	0.0001	60	104	0.7128_lr0.0001_e60_d104
0.7134	0.001	20	5	0.7134_lr0.001_e20_d5
0.7136	0.0001	50	182	0.7136_lr0.0001_e50_d182
0.7152	0.0001	70	104	0.7152_lr0.0001_e70_d104
0.7152	0.0001	60	130	0.7152_lr0.0001_e60_d130
0.7156	0.0001	40	182	0.7156_lr0.0001_e40_d182
0.7172	0.01	20	5	0.7172_lr0.01_e20_d5
0.7178	0.0001	80	130	0.7178_lr0.0001_e80_d130
0.7186	0.0001	40	156	0.7186_lr0.0001_e40_d156
0.719	0.01	5	156	0.719_lr0.01_e5_d156
0.7192	0.001	80	5	0.7192_lr0.001_e80_d5
0.72	0.0001	80	104	0.72_lr0.0001_e80_d104
0.72	0.0001	30	182	0.72_lr0.0001_e30_d182
0.7204	0.01	5	26	0.7204_lr0.01_e5_d26
0.7214	0.01	5	52	0.7214_lr0.01_e5_d52
0.723	0.01	5	104	0.723_lr0.01_e5_d104
0.7232	0.0001	80	156	0.7232_lr0.0001_e80_d156
0.724	0.001	10	156	0.724_lr0.001_e10_d156
0.7246	0.01	60	5	0.7246_lr0.01_e60_d5
0.7246	0.0001	60	156	0.7246_lr0.0001_e60_d156
0.7248	0.0001	70	156	0.7248_lr0.0001_e70_d156
0.7254	0.001	5	26	0.7254_lr0.001_e5_d26
0.7276	0.001	10	52	0.7276_lr0.001_e10_d52
0.728	0.0001	70	130	0.728_lr0.0001_e70_d130
0.7294	0.0001	50	156	0.7294_lr0.0001_e50_d156
0.7296	0.01	10	78	0.7296_lr0.01_e10_d78
0.731	0.01	5	130	0.731_lr0.01_e5_d130
0.733	0.001	40	26	0.733_lr0.001_e40_d26
0.733	0.0001	60	182	0.733_lr0.0001_e60_d182
0.733	0.0001	70	182	0.733_lr0.0001_e70_d182
0.7332	0.0001	80	182	0.7332_lr0.0001_e80_d182
0.7338	0.001	20	52	0.7338_lr0.001_e20_d52
0.7346	0.001	5	104	0.7346_lr0.001_e5_d104
0.7354	0.001	30	26	0.7354_lr0.001_e30_d26
0.7358	0.01	10	156	0.7358_lr0.01_e10_d156
0.7366	0.001	5	52	0.7366_lr0.001_e5_d52
0.7366	0.001	10	78	0.7366_lr0.001_e10_d78
0.7368	0.001	10	26	0.7368_lr0.001_e10_d26
0.7372	0.001	5	182	0.7372_lr0.001_e5_d182
0.7382	0.01	20	52	0.7382_lr0.01_e20_d52
0.7382	0.001	80	26	0.7382_lr0.001_e80_d26
0.7382	0.001	20	130	0.7382_lr0.001_e20_d130
0.739	0.01	10	26	0.739_lr0.01_e10_d26
0.739	0.001	10	104	0.739_lr0.001_e10_d104
0.7394	0.001	20	26	0.7394_lr0.001_e20_d26
0.7404	0.01	5	182	0.7404_lr0.01_e5_d182
0.7408	0.001	10	130	0.7408_lr0.001_e10_d130
0.741	0.001	60	26	0.741_lr0.001_e60_d26
0.741	0.001	40	52	0.741_lr0.001_e40_d52
0.741	0.001	10	182	0.741_lr0.001_e10_d182
0.7422	0.001	5	130	0.7422_lr0.001_e5_d130
0.7428	0.001	50	52	0.7428_lr0.001_e50_d52
0.7438	0.001	5	156	0.7438_lr0.001_e5_d156
0.744	0.001	5	78	0.744_lr0.001_e5_d78
0.7444	0.001	30	130	0.7444_lr0.001_e30_d130
0.745	0.001	50	26	0.745_lr0.001_e50_d26
0.745	0.001	70	26	0.745_lr0.001_e70_d26
0.7454	0.01	40	130	0.7454_lr0.01_e40_d130
0.7456	0.01	10	130	0.7456_lr0.01_e10_d130
0.7458	0.01	20	182	0.7458_lr0.01_e20_d182
0.7462	0.01	50	182	0.7462_lr0.01_e50_d182
0.7462	0.001	20	104	0.7462_lr0.001_e20_d104
0.7464	0.01	10	182	0.7464_lr0.01_e10_d182
0.7472	0.01	40	182	0.7472_lr0.01_e40_d182
0.7474	0.001	30	52	0.7474_lr0.001_e30_d52
0.7476	0.01	60	26	0.7476_lr0.01_e60_d26
0.7482	0.01	30	52	0.7482_lr0.01_e30_d52
0.7488	0.001	60	52	0.7488_lr0.001_e60_d52
0.749	0.01	30	26	0.749_lr0.01_e30_d26
0.749	0.01	70	130	0.749_lr0.01_e70_d130
0.7492	0.01	5	78	0.7492_lr0.01_e5_d78
0.7494	0.01	50	26	0.7494_lr0.01_e50_d26
0.7496	0.01	30	156	0.7496_lr0.01_e30_d156
0.7496	0.01	30	182	0.7496_lr0.01_e30_d182
0.7496	0.001	80	52	0.7496_lr0.001_e80_d52
0.7496	0.001	50	78	0.7496_lr0.001_e50_d78
0.7498	0.001	30	104	0.7498_lr0.001_e30_d104
0.7502	0.01	60	156	0.7502_lr0.01_e60_d156
0.7504	0.001	60	78	0.7504_lr0.001_e60_d78
0.7512	0.01	20	104	0.7512_lr0.01_e20_d104
0.7512	0.001	70	78	0.7512_lr0.001_e70_d78
0.7516	0.001	80	104	0.7516_lr0.001_e80_d104
0.7518	0.01	30	104	0.7518_lr0.01_e30_d104
0.752	0.01	20	156	0.752_lr0.01_e20_d156
0.7522	0.01	80	182	0.7522_lr0.01_e80_d182
0.7522	0.001	30	78	0.7522_lr0.001_e30_d78
0.7524	0.001	40	78	0.7524_lr0.001_e40_d78
0.7526	0.001	20	78	0.7526_lr0.001_e20_d78
0.7528	0.001	30	182	0.7528_lr0.001_e30_d182
0.753	0.01	60	78	0.753_lr0.01_e60_d78
0.7534	0.01	50	52	0.7534_lr0.01_e50_d52
0.7538	0.01	10	104	0.7538_lr0.01_e10_d104
0.7538	0.001	20	182	0.7538_lr0.001_e20_d182
0.754	0.01	80	130	0.754_lr0.01_e80_d130
0.7546	0.01	20	26	0.7546_lr0.01_e20_d26
0.7548	0.001	30	156	0.7548_lr0.001_e30_d156
0.7552	0.01	70	26	0.7552_lr0.01_e70_d26
0.7552	0.001	60	130	0.7552_lr0.001_e60_d130
0.7552	0.001	70	130	0.7552_lr0.001_e70_d130
0.7554	0.01	60	104	0.7554_lr0.01_e60_d104
0.7556	0.01	80	26	0.7556_lr0.01_e80_d26
0.7562	0.01	70	104	0.7562_lr0.01_e70_d104
0.7566	0.001	20	156	0.7566_lr0.001_e20_d156
0.757	0.001	40	130	0.757_lr0.001_e40_d130
0.7574	0.001	70	52	0.7574_lr0.001_e70_d52
0.7576	0.01	80	156	0.7576_lr0.01_e80_d156
0.7578	0.001	50	130	0.7578_lr0.001_e50_d130
0.758	0.001	50	104	0.758_lr0.001_e50_d104
0.7582	0.01	40	52	0.7582_lr0.01_e40_d52
0.7582	0.01	40	104	0.7582_lr0.01_e40_d104
0.7586	0.01	70	52	0.7586_lr0.01_e70_d52
0.7586	0.01	30	130	0.7586_lr0.01_e30_d130
0.7588	0.01	40	26	0.7588_lr0.01_e40_d26
0.7588	0.01	40	156	0.7588_lr0.01_e40_d156
0.7594	0.001	40	104	0.7594_lr0.001_e40_d104
0.7598	0.001	80	78	0.7598_lr0.001_e80_d78
0.7598	0.001	60	156	0.7598_lr0.001_e60_d156
0.76	0.01	20	130	0.76_lr0.01_e20_d130
0.76	0.001	80	182	0.76_lr0.001_e80_d182
0.7602	0.001	60	104	0.7602_lr0.001_e60_d104
0.7604	0.01	60	182	0.7604_lr0.01_e60_d182
0.7604	0.001	70	182	0.7604_lr0.001_e70_d182
0.7606	0.01	30	78	0.7606_lr0.01_e30_d78
0.7608	0.01	70	182	0.7608_lr0.01_e70_d182
0.7608	0.001	80	130	0.7608_lr0.001_e80_d130
0.761	0.01	80	52	0.761_lr0.01_e80_d52
0.7614	0.01	50	156	0.7614_lr0.01_e50_d156
0.7622	0.001	50	156	0.7622_lr0.001_e50_d156
0.7624	0.01	80	104	0.7624_lr0.01_e80_d104
0.7626	0.001	40	156	0.7626_lr0.001_e40_d156
0.7628	0.001	50	182	0.7628_lr0.001_e50_d182
0.763	0.01	20	78	0.763_lr0.01_e20_d78
0.763	0.001	80	156	0.763_lr0.001_e80_d156
0.7632	0.001	70	104	0.7632_lr0.001_e70_d104
0.7636	0.001	40	182	0.7636_lr0.001_e40_d182
0.7642	0.01	50	130	0.7642_lr0.01_e50_d130
0.7646	0.01	70	156	0.7646_lr0.01_e70_d156
0.7648	0.001	70	156	0.7648_lr0.001_e70_d156
0.765	0.01	70	78	0.765_lr0.01_e70_d78
0.7652	0.01	60	52	0.7652_lr0.01_e60_d52
0.766	0.01	80	78	0.766_lr0.01_e80_d78
0.766	0.01	60	130	0.766_lr0.01_e60_d130
0.7662	0.01	50	78	0.7662_lr0.01_e50_d78
0.7664	0.01	50	104	0.7664_lr0.01_e50_d104
0.7682	0.01	40	78	0.7682_lr0.01_e40_d78
0.7708	0.001	60	182	0.7708_lr0.001_e60_d182
